Player,Tot,NBA,ABA
Kareem Abdul-Jabbar,19,19,0
LeBron James,19,19,0
Kobe Bryant,18,18,0
Julius Erving,16,11,5
Tim Duncan,15,15,0
Kevin Garnett,15,15,0
Shaquille O'Neal,15,15,0
Michael Jordan,14,14,0
Karl Malone,14,14,0
Dirk Nowitzki,14,14,0
Jerry West,14,14,0
Wilt Chamberlain,13,13,0
Bob Cousy,13,13,0
Kevin Durant,13,13,0
John Havlicek,13,13,0
Moses Malone,13,12,1
Dwyane Wade,13,13,0
Rick Barry,12,8,4
Larry Bird,12,12,0
George Gervin,12,9,3
Elvin Hayes,12,12,0
Magic Johnson,12,12,0
Hakeem Olajuwon,12,12,0
Chris Paul,12,12,0
Oscar Robertson,12,12,0
Bill Russell,12,12,0
Dolph Schayes,12,12,0
Isiah Thomas,12,12,0
Charles Barkley,11,11,0
Elgin Baylor,11,11,0
Chris Bosh,11,11,0
Patrick Ewing,11,11,0
Artis Gilmore,11,6,5
Allen Iverson,11,11,0
Bob Pettit,11,11,0
Ray Allen,10,10,0
Carmelo Anthony,10,10,0
Paul Arizin,10,10,0
Clyde Drexler,10,10,0
Hal Greer,10,10,0
James Harden,10,10,0
Jason Kidd,10,10,0
Paul Pierce,10,10,0
David Robinson,10,10,0
John Stockton,10,10,0
Stephen Curry,9,9,0
Robert Parish,9,9,0
Gary Payton,9,9,0
Russell Westbrook,9,9,0
Lenny Wilkens,9,9,0
Dominique Wilkins,9,9,0
Vince Carter,8,8,0
Dave Cowens,8,8,0
Anthony Davis,8,8,0
Dave DeBusschere,8,8,0
Alex English,8,8,0
Larry Foust,8,8,0
Paul George,8,8,0
Dwight Howard,8,8,0
Kyrie Irving,8,8,0
Bob Lanier,8,8,0
Yao Ming,8,8,0
Dikembe Mutombo,8,8,0
Steve Nash,8,8,0
Bill Sharman,8,8,0
LaMarcus Aldridge,7,7,0
Giannis Antetokounmpo,7,7,0
Dave Bing,7,7,0
Louie Dampier,7,0,7
Mel Daniels,7,0,7
Walt Frazier,7,7,0
Harry Gallatin,7,7,0
Grant Hill,7,7,0
Dan Issel,7,1,6
Joe Johnson,7,7,0
Damian Lillard,7,7,0
Jerry Lucas,7,7,0
Ed Macauley,7,7,0
Slater Martin,7,7,0
Tracy McGrady,7,7,0
Dick McGuire,7,7,0
Kevin McHale,7,7,0
Alonzo Mourning,7,7,0
Scottie Pippen,7,7,0
Willis Reed,7,7,0
Jack Sikma,7,7,0
Nate Thurmond,7,7,0
Chet Walker,7,7,0
Jo Jo White,7,7,0
James Worthy,7,7,0
Tiny Archibald,6,6,0
Jimmy Butler,6,6,0
Larry Costello,6,6,0
Adrian Dantley,6,6,0
Walter Davis,6,6,0
DeMar DeRozan,6,6,0
Joe Dumars,6,6,0
Joel Embiid,6,6,0
Pau Gasol,6,6,0
Blake Griffin,6,6,0
Richie Guerin,6,6,0
Cliff Hagan,6,5,1
Tom Heinsohn,6,6,0
Bailey Howell,6,6,0
Lou Hudson,6,6,0
Neil Johnston,6,6,0
Jimmy Jones,6,0,6
Shawn Kemp,6,6,0
Kyle Lowry,6,6,0
George McGinnis,6,3,3
Vern Mikkelsen,6,6,0
Jermaine O'Neal,6,6,0
Tony Parker,6,6,0
Mitch Richmond,6,6,0
Amar'e Stoudemire,6,6,0
Jack Twyman,6,6,0
George Yardley,6,6,0
Zelmo Beaty,5,2,3
Chauncey Billups,5,5,0
Carl Braun,5,5,0
Mack Calvin,5,0,5
Billy Cunningham,5,4,1
Brad Daugherty,5,5,0
Wayne Embry,5,5,0
Donnie Freeman,5,0,5
Tom Gola,5,5,0
Gail Goodrich,5,5,0
Tim Hardaway,5,5,0
Connie Hawkins,5,4,1
Spencer Haywood,5,4,1
Al Horford,5,5,0
Dennis Johnson,5,5,0
Gus Johnson,5,5,0
Marques Johnson,5,5,0
Nikola Jokić,5,5,0
Bobby Jones,5,4,1
Sam Jones,5,5,0
Larry Kenon,5,2,3
Rudy LaRusso,5,5,0
Kawhi Leonard,5,5,0
Kevin Love,5,5,0
Maurice Lucas,5,4,1
Pete Maravich,5,5,0
Bob McAdoo,5,5,0
Reggie Miller,5,5,0
Sidney Moncrief,5,5,0
Chris Mullin,5,5,0
Don Ohl,5,5,0
Andy Phillip,5,5,0
Charlie Scott,5,3,2
Gene Shue,5,5,0
Ralph Simpson,5,0,5
David Thompson,5,4,1
Klay Thompson,5,5,0
Rudy Tomjanovich,5,5,0
Wes Unseld,5,5,0
John Wall,5,5,0
Bobby Wanzer,5,5,0
Chris Webber,5,5,0
Paul Westphal,5,5,0
Vin Baker,4,4,0
Walt Bellamy,4,4,0
Otis Birdsong,4,4,0
Rolando Blackman,4,4,0
Ron Boone,4,0,4
Roger Brown,4,0,4
Joe Caldwell,4,2,2
Tom Chambers,4,4,0
Maurice Cheeks,4,4,0
Doug Collins,4,4,0
DeMarcus Cousins,4,4,0
Bob Dandridge,4,4,0
Bob Davies,4,4,0
Luka Dončić,4,4,0
Dick Garmaker,4,4,0
Draymond Green,4,4,0
Johnny Green,4,4,0
Anfernee Hardaway,4,4,0
Mel Hutchins,4,4,0
Warren Jabali,4,0,4
Larry Jones,4,0,4
Bernard King,4,4,0
Bill Laimbeer,4,4,0
Clyde Lovellette,4,4,0
Shawn Marion,4,4,0
George Mikan,4,4,0
Paul Millsap,4,4,0
Donovan Mitchell,4,4,0
Earl Monroe,4,4,0
Willie Naulls,4,4,0
Bob Netolicky,4,0,4
Jim Pollard,4,4,0
Mark Price,4,4,0
Micheal Ray Richardson,4,4,0
Arnie Risen,4,4,0
Red Robbins,4,0,4
Alvin Robertson,4,4,0
Guy Rodgers,4,4,0
Rajon Rondo,4,4,0
Ralph Sampson,4,4,0
Latrell Sprewell,4,4,0
Jayson Tatum,4,4,0
Kemba Walker,4,4,0
Ben Wallace,4,4,0
Rasheed Wallace,4,4,0
Sidney Wicks,4,4,0
Mark Aguirre,3,3,0
Gilbert Arenas,3,3,0
Bradley Beal,3,3,0
John Beasley,3,0,3
Devin Booker,3,3,0
Bill Bridges,3,3,0
Larry Brown,3,0,3
Darel Carrier,3,0,3
Phil Chenier,3,3,0
Glen Combs,3,0,3
Terry Dischinger,3,3,0
Steve Francis,3,3,0
Marc Gasol,3,3,0
Rudy Gobert,3,3,0
Richard Hamilton,3,3,0
Kevin Johnson,3,3,0
Stew Johnson,3,0,3
Eddie Jones,3,3,0
Steve Jones,3,0,3
Bob Kauffman,3,3,0
Red Kerr,3,3,0
Billy Knight,3,2,1
Freddie Lewis,3,0,3
Bob Love,3,3,0
Dan Majerle,3,3,0
Bill Melchionni,3,0,3
Khris Middleton,3,3,0
Doug Moe,3,0,3
Jeff Mullins,3,3,0
Larry Nance,3,3,0
Billy Paultz,3,0,3
Glen Rice,3,3,0
Derrick Rose,3,3,0
Dan Roundfield,3,3,0
Brandon Roy,3,3,0
Domantas Sabonis,3,3,0
Detlef Schrempf,3,3,0
Paul Seymour,3,3,0
Ben Simmons,3,3,0
Peja Stojaković,3,3,0
Maurice Stokes,3,3,0
George Thompson,3,0,3
Karl-Anthony Towns,3,3,0
Dick Van Arsdale,3,3,0
Tom Van Arsdale,3,3,0
Norm Van Lier,3,3,0
Antoine Walker,3,3,0
Jamaal Wilkes,3,3,0
Buck Williams,3,3,0
Deron Williams,3,3,0
Willie Wise,3,0,3
Bam Adebayo,2,2,0
Marvin Barnes,2,0,2
Leo Barnhorst,2,2,0
Byron Beck,2,0,2
Art Becker,2,0,2
Carlos Boozer,2,2,0
Elton Brand,2,2,0
Terrell Brandon,2,2,0
Frankie Brian,2,2,0
John Brisker,2,0,2
Jaylen Brown,2,2,0
Don Buse,2,1,1
Caron Butler,2,2,0
Archie Clark,2,2,0
Terry Cummings,2,2,0
Baron Davis,2,2,0
Warren Davis,2,0,2
Luol Deng,2,2,0
John Drew,2,2,0
Andre Drummond,2,2,0
Kevin Duckworth,2,2,0
Walter Dukes,2,2,0
Dike Eddleman,2,2,0
Sean Elliott,2,2,0
Michael Finley,2,2,0
Joe Fulks,2,2,0
Jack George,2,2,0
Manu Ginóbili,2,2,0
Roy Hibbert,2,2,0
Jrue Holiday,2,2,0
Allan Houston,2,2,0
Hot Rod Hundley,2,2,0
Les Hunter,2,0,2
Zydrunas Ilgauskas,2,2,0
Antawn Jamison,2,2,0
Eddie Johnson,2,2,0
John Johnson,2,2,0
Larry Johnson,2,2,0
Rich Jones,2,0,2
Don Kojis,2,2,0
Wendell Ladner,2,0,2
Zach LaVine,2,2,0
David Lee,2,2,0
Fat Lever,2,2,0
Mike Lewis,2,0,2
Rashard Lewis,2,2,0
Jeff Malone,2,2,0
Danny Manning,2,2,0
Stephon Marbury,2,2,0
Jack Marin,2,2,0
Brad Miller,2,2,0
Ja Morant,2,2,0
Swen Nater,2,0,2
Norm Nixon,2,2,0
Joakim Noah,2,2,0
Victor Oladipo,2,2,0
Jim Paxson,2,2,0
Geoff Petrie,2,2,0
Terry Porter,2,2,0
Cincy Powell,2,0,2
Julius Randle,2,2,0
Zach Randolph,2,2,0
Glenn Robinson,2,2,0
Truck Robinson,2,2,0
Red Rocha,2,2,0
Dennis Rodman,2,2,0
Jeff Ruland,2,2,0
Fred Scolari,2,2,0
Kenny Sears,2,2,0
Frank Selvy,2,2,0
Pascal Siakam,2,2,0
James Silas,2,0,2
Paul Silas,2,2,0
Jerry Sloan,2,2,0
Phil Smith,2,2,0
Randy Smith,2,2,0
Jerry Stackhouse,2,2,0
Levern Tart,2,0,2
Brian Taylor,2,0,2
Reggie Theus,2,2,0
Isaiah Thomas,2,2,0
Andrew Toney,2,2,0
Kelly Tripucka,2,2,0
Kiki Vandeweghe,2,2,0
Nikola Vučević,2,2,0
Jimmy Walker,2,2,0
Bill Walton,2,2,0
Scott Wedman,2,2,0
David West,2,2,0
Charlie Williams,2,0,2
Chuck Williams,2,0,2
Gus Williams,2,2,0
Zion Williamson,2,2,0
Brian Winters,2,2,0
Trae Young,2,2,0
Shareef Abdur-Rahim,1,1,0
Alvan Adams,1,1,0
Michael Adams,1,1,0
Danny Ainge,1,1,0
Jarrett Allen,1,1,0
Kenny Anderson,1,1,0
B.J. Armstrong,1,1,0
LaMelo Ball,1,1,0
Don Barksdale,1,1,0
Dick Barnett,1,1,0
Dana Barros,1,1,0
Butch Beard,1,1,0
Ralph Beard,1,1,0
Mookie Blaylock,1,1,0
John Block,1,1,0
Bob Boozer,1,1,0
Vince Boryla,1,1,0
Bill Bradley,1,1,0
Fred Brown,1,1,0
Roger Brown,1,0,1
Larry Bunce,1,0,1
Andrew Bynum,1,1,0
Austin Carr,1,1,0
Joe Barry Carroll,1,1,0
George Carter,1,0,1
Bill Cartwright,1,1,0
Sam Cassell,1,1,0
Cedric Ceballos,1,1,0
Tyson Chandler,1,1,0
Len Chappell,1,1,0
Nat Clifton,1,1,0
Derrick Coleman,1,1,0
Jack Coleman,1,1,0
Mike Conley,1,1,0
Antonio Davis,1,1,0
Dale Davis,1,1,0
Vlade Divac,1,1,0
James Donaldson,1,1,0
Goran Dragić,1,1,0
Jim Eakins,1,0,1
Mark Eaton,1,1,0
Anthony Edwards,1,1,0
Dale Ellis,1,1,0
Ray Felix,1,1,0
Sleepy Floyd,1,1,0
Jimmy Foster,1,0,1
De'Aaron Fox,1,1,0
World B. Free,1,1,0
Bill Gabor,1,1,0
Darius Garland,1,1,0
Chris Gatling,1,1,0
Gus Gerard,1,0,1
Shai Gilgeous-Alexander,1,1,0
Gerald Govan,1,0,1
Danny Granger,1,1,0
Horace Grant,1,1,0
A.C. Green,1,1,0
Mike Green,1,0,1
Rickey Green,1,1,0
Alex Groza,1,1,0
Tom Gugliotta,1,1,0
Tyrese Haliburton,1,1,0
Devin Harris,1,1,0
Bob Harrison,1,1,0
Hersey Hawkins,1,1,0
Gordon Hayward,1,1,0
Walt Hazzard,1,1,0
Wayne Hightower,1,0,1
Tyrone Hill,1,1,0
Lionel Hollins,1,1,0
Jeff Hornacek,1,1,0
Josh Howard,1,1,0
Juwan Howard,1,1,0
Andre Iguodala,1,1,0
Darrall Imhoff,1,1,0
Brandon Ingram,1,1,0
Jaren Jackson Jr.,1,1,0
Luke Jackson,1,1,0
Mark Jackson,1,1,0
Merv Jackson,1,0,1
Tony Jackson,1,0,1
Neil Johnson,1,0,1
Steve Johnson,1,1,0
Caldwell Jones,1,0,1
Wil Jones,1,0,1
DeAndre Jordan,1,1,0
Chris Kaman,1,1,0
Julius Keye,1,0,1
Jim King,1,1,0
Andrei Kirilenko,1,1,0
Kyle Korver,1,1,0
Sam Lacey,1,1,0
Christian Laettner,1,1,0
Clyde Lee,1,1,0
Reggie Lewis,1,1,0
Goose Ligon,1,0,1
Brook Lopez,1,1,0
Jamaal Magloire,1,1,0
Randy Mahaffey,1,0,1
Lauri Markkanen,1,1,0
Kenyon Martin,1,1,0
Jamal Mashburn,1,1,0
Anthony Mason,1,1,0
Ted McClain,1,0,1
Xavier McDaniel,1,1,0
Jim McDaniels,1,0,1
Antonio McDyess,1,1,0
Jon McGlocklin,1,1,0
Dewitt Menyard,1,0,1
Tom Meschery,1,1,0
Eddie Miles,1,1,0
Mike Mitchell,1,1,0
Steve Mix,1,1,0
Jack Molinas,1,1,0
Gene Moore,1,0,1
Calvin Murphy,1,1,0
Dejounte Murray,1,1,0
Calvin Natt,1,1,0
Jameer Nelson,1,1,0
Chuck Noble,1,1,0
Charles Oakley,1,1,0
Mehmet Okur,1,1,0
Ricky Pierce,1,1,0
Kristaps Porziņģis,1,1,0
Jim Price,1,1,0
Theo Ratliff,1,1,0
Michael Redd,1,1,0
Richie Regan,1,1,0
Doc Rivers,1,1,0
Clifford Robinson,1,1,0
Flynn Robinson,1,1,0
Curtis Rowe,1,1,0
Bob Rule,1,1,0
Campy Russell,1,1,0
Cazzie Russell,1,1,0
D'Angelo Russell,1,1,0
Woody Sauldsberry,1,1,0
Fred Schaus,1,1,0
Lee Shaffer,1,1,0
Lonnie Shelton,1,1,0
Walt Simon,1,0,1
Adrian Smith,1,1,0
Steve Smith,1,1,0
Rik Smits,1,1,0
Willie Somerset,1,0,1
John Starks,1,1,0
Don Sunderlage,1,1,0
Wally Szczerbiak,1,1,0
Jeff Teague,1,1,0
Claude Terry,1,0,1
Skip Thoren,1,0,1
Otis Thorpe,1,1,0
Monte Towe,1,0,1
Dave Twardzik,1,0,1
Nick Van Exel,1,1,0
Fred VanVleet,1,1,0
Chico Vaughn,1,0,1
Bob Verga,1,0,1
Gerald Wallace,1,1,0
Paul Walther,1,1,0
Ben Warley,1,0,1
Kermit Washington,1,1,0
Trooper Washington,1,0,1
Andrew Wiggins,1,1,0
Jayson Williams,1,1,0
Mo Williams,1,1,0
Kevin Willis,1,1,0
Metta World Peace,1,1,0
Max Zaslofsky,1,1,0
